dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000196,NI data zone,4,18,62,4,125
N20000197,NI data zone,6,15,53,3,136
N20000198,NI data zone,6,28,79,7,239
N20000199,NI data zone,27,58,98,9,320
N20000200,NI data zone,18,54,151,15,322
N20000201,NI data zone,19,65,178,10,294
N20000202,NI data zone,21,41,91,4,241
N20000203,NI data zone,15,30,114,7,148
N20000204,NI data zone,23,44,126,6,180
N20000205,NI data zone,15,16,103,2,183
N20000206,NI data zone,14,33,86,7,143
N20000207,NI data zone,22,34,75,4,314
N20000208,NI data zone,19,46,74,9,336
N20000209,NI data zone,24,61,122,7,286
N20000210,NI data zone,29,46,102,8,474
N20000211,NI data zone,23,54,282,23,232
N20000212,NI data zone,25,46,91,8,343
N20000213,NI data zone,20,32,69,10,257
N20000214,NI data zone,10,27,65,11,209
N20000215,NI data zone,25,46,186,27,217
N20000216,NI data zone,9,24,63,6,178
N20000217,NI data zone,29,60,190,19,295
N20000218,NI data zone,22,53,138,13,358
N20000219,NI data zone,32,78,185,36,393
N20000220,NI data zone,11,29,114,14,266
N20000221,NI data zone,29,52,161,16,266
N20000222,NI data zone,18,44,145,7,271
N20000223,NI data zone,16,53,161,16,247
N20000224,NI data zone,25,41,135,11,249
N20000225,NI data zone,10,29,69,3,199
N20000226,NI data zone,40,68,182,16,300
N20000227,NI data zone,18,47,142,20,263
N20000228,NI data zone,11,42,126,18,229
N20000229,NI data zone,19,45,120,10,268
N20000230,NI data zone,17,61,179,17,248
N20000231,NI data zone,28,50,115,14,282
N20000232,NI data zone,11,30,99,7,169
N20000233,NI data zone,17,49,143,12,257
N20000234,NI data zone,22,42,135,10,214
N20000235,NI data zone,9,33,112,14,198
N20000236,NI data zone,16,40,97,8,279
N20000237,NI data zone,15,32,101,11,256
N20000238,NI data zone,30,62,202,15,276
N20000239,NI data zone,23,53,142,16,229
N20000240,NI data zone,15,37,101,10,185
N20000241,NI data zone,6,33,68,5,179
N20000242,NI data zone,21,53,162,11,204
N20000243,NI data zone,12,33,133,9,165
N20000244,NI data zone,27,75,204,26,360
N20000245,NI data zone,19,48,127,5,200
N20000246,NI data zone,28,46,206,20,244
N20000247,NI data zone,30,57,135,15,220
N20000248,NI data zone,6,24,83,4,153
N20000249,NI data zone,10,30,111,8,194
N20000250,NI data zone,16,45,125,8,196
N20000251,NI data zone,30,83,253,28,320
N20000252,NI data zone,21,53,158,9,208
N20000253,NI data zone,35,42,182,33,326
N20000254,NI data zone,35,40,142,10,272
N20000255,NI data zone,21,61,176,28,258
N20000256,NI data zone,27,58,216,25,234
N20000257,NI data zone,13,22,72,10,189
N20000258,NI data zone,18,49,127,33,289
N20000259,NI data zone,28,53,117,22,368
N20000260,NI data zone,27,66,194,29,335
N20000261,NI data zone,53,82,214,76,468
N20000262,NI data zone,32,66,148,53,352
N20000263,NI data zone,24,52,169,39,277
N20000264,NI data zone,27,55,260,30,311
N20000265,NI data zone,30,40,220,28,220
N20000266,NI data zone,29,27,129,23,166
N20000267,NI data zone,42,88,273,34,371
N20000268,NI data zone,43,68,149,52,354
N20000269,NI data zone,26,58,194,13,355
N20000270,NI data zone,22,28,129,14,157
N20000271,NI data zone,27,37,180,24,242
N20000272,NI data zone,18,55,294,24,266
N20000273,NI data zone,15,43,150,15,182
N20000274,NI data zone,25,51,165,46,247
N20000275,NI data zone,22,45,217,24,183
N20000276,NI data zone,19,55,211,36,280
N20000277,NI data zone,19,45,159,15,195
N20000278,NI data zone,32,58,127,42,264
N20000279,NI data zone,53,124,581,119,456
N20000280,NI data zone,41,68,180,57,317
N20000281,NI data zone,25,65,181,46,350
N20000282,NI data zone,25,42,133,37,193
N20000283,NI data zone,30,61,217,26,415
N20000284,NI data zone,35,55,183,18,326
N20000285,NI data zone,33,61,174,58,324
N20000286,NI data zone,34,56,178,24,228
N20000287,NI data zone,34,96,228,20,360
N20000288,NI data zone,15,50,131,16,267
N20000289,NI data zone,18,32,71,10,225
N20000290,NI data zone,7,27,45,5,217
N20000291,NI data zone,18,33,94,14,158
N20000292,NI data zone,38,57,189,19,258
N20000293,NI data zone,40,49,152,35,259
N20000294,NI data zone,34,71,235,22,364
N20000476,NI data zone,30,57,167,41,273
N20000711,NI data zone,44,82,260,36,343
N20000712,NI data zone,10,52,148,5,260
N20000713,NI data zone,20,68,91,12,392
N20000714,NI data zone,10,24,51,5,158
N20000715,NI data zone,24,65,122,7,362
N20000716,NI data zone,29,61,200,14,323
N20000717,NI data zone,23,60,135,11,358
N20000718,NI data zone,14,41,113,9,272
N20000719,NI data zone,14,48,85,4,374
N20000720,NI data zone,18,42,116,10,203
N20000721,NI data zone,20,37,101,0,200
N20000722,NI data zone,17,36,144,18,198
N20000723,NI data zone,19,77,149,14,311
N20000724,NI data zone,15,43,148,16,224
N20000725,NI data zone,7,31,57,7,270
N20000726,NI data zone,16,52,176,11,281
N20000727,NI data zone,9,47,108,10,219
N20000728,NI data zone,25,41,85,9,267
N20000729,NI data zone,14,37,70,3,235
N20000730,NI data zone,16,74,139,11,461
N20000731,NI data zone,21,84,265,28,330
N20000732,NI data zone,12,49,133,20,303
N20000733,NI data zone,24,87,160,19,300
N20000734,NI data zone,19,44,98,12,187
N20000735,NI data zone,18,63,144,13,279
N20000736,NI data zone,10,37,90,9,280
N20000737,NI data zone,18,54,112,17,293
N20000738,NI data zone,29,45,127,9,257
N20000739,NI data zone,10,24,52,4,218
N20000740,NI data zone,21,51,108,14,244
N20000741,NI data zone,25,44,121,7,250
N20000742,NI data zone,18,49,107,13,203
N20000743,NI data zone,19,49,94,8,278
N20000744,NI data zone,17,52,85,6,334
N20000745,NI data zone,14,37,81,2,268
N20000746,NI data zone,22,80,109,11,452
N20000747,NI data zone,25,38,107,5,214
N20000748,NI data zone,16,62,76,5,528
N20000749,NI data zone,27,61,72,7,481
N20000750,NI data zone,25,63,122,12,308
N20000751,NI data zone,17,42,60,3,303
N20000752,NI data zone,12,41,63,7,272
N20000753,NI data zone,25,49,72,3,339
N20000754,NI data zone,7,10,32,3,168
N20000755,NI data zone,11,50,83,6,352
N20000756,NI data zone,19,37,60,3,340
N20000757,NI data zone,23,36,79,11,292
N20000758,NI data zone,27,58,94,5,381
N20000759,NI data zone,15,23,73,7,311
N20000760,NI data zone,13,34,98,8,261
N20000761,NI data zone,10,60,61,11,388
N20000762,NI data zone,20,42,71,8,235
