dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000213,NI data zone,44,68,51,23,1
N20000214,NI data zone,40,68,38,4,0
N20000215,NI data zone,103,53,13,1,0
N20000216,NI data zone,44,61,29,5,0
N20000217,NI data zone,118,91,35,7,0
N20000218,NI data zone,83,110,73,8,0
N20000219,NI data zone,146,72,36,1,0
N20000220,NI data zone,65,92,53,4,0
N20000221,NI data zone,90,85,46,8,0
N20000222,NI data zone,81,73,40,11,2
N20000223,NI data zone,71,68,53,2,1
N20000224,NI data zone,83,75,37,5,0
N20000225,NI data zone,54,43,42,13,2
N20000226,NI data zone,111,86,49,8,2
N20000227,NI data zone,100,63,23,5,0
N20000228,NI data zone,71,61,44,20,5
N20000229,NI data zone,51,80,59,31,10
N20000230,NI data zone,89,80,40,10,3
N20000231,NI data zone,76,89,34,6,0
N20000232,NI data zone,65,51,18,4,0
N20000233,NI data zone,81,69,33,9,0
N20000234,NI data zone,75,63,33,4,0
N20000235,NI data zone,67,62,29,7,1
N20000236,NI data zone,67,70,64,20,1
N20000237,NI data zone,66,56,63,47,2
N20000238,NI data zone,104,90,35,12,1
N20000239,NI data zone,80,68,38,1,1
N20000240,NI data zone,68,49,40,5,0
N20000241,NI data zone,41,39,47,2,0
N20000242,NI data zone,83,69,33,9,0
N20000243,NI data zone,69,53,22,4,0
N20000244,NI data zone,120,74,40,3,0
N20000245,NI data zone,57,52,39,6,0
N20000246,NI data zone,108,67,31,11,1
N20000247,NI data zone,82,63,34,10,0
N20000248,NI data zone,52,41,37,8,0
N20000249,NI data zone,67,46,24,7,0
N20000250,NI data zone,85,37,26,0,0
N20000251,NI data zone,117,80,31,13,1
N20000252,NI data zone,78,54,41,6,0
N20000253,NI data zone,118,86,35,3,0
N20000254,NI data zone,102,59,40,5,0
N20000255,NI data zone,85,63,25,5,0
N20000256,NI data zone,122,44,14,4,0
N20000257,NI data zone,67,56,20,6,0
N20000258,NI data zone,107,71,23,3,1
N20000259,NI data zone,124,96,41,14,0
N20000260,NI data zone,171,73,20,3,0
N20000261,NI data zone,145,123,26,5,1
N20000262,NI data zone,110,97,36,4,0
N20000263,NI data zone,134,66,27,4,0
N20000264,NI data zone,160,90,24,13,2
N20000265,NI data zone,129,61,19,4,0
N20000266,NI data zone,75,45,24,4,0
N20000267,NI data zone,160,77,27,8,1
N20000268,NI data zone,87,81,36,6,0
N20000269,NI data zone,84,104,48,17,3
N20000270,NI data zone,91,43,13,3,1
N20000271,NI data zone,107,45,6,0,0
N20000272,NI data zone,165,55,11,4,1
N20000273,NI data zone,90,42,20,5,0
N20000274,NI data zone,93,79,23,3,1
N20000275,NI data zone,138,39,5,0,0
N20000276,NI data zone,133,47,15,4,0
N20000277,NI data zone,77,47,14,1,0
N20000278,NI data zone,77,71,34,4,0
N20000279,NI data zone,165,83,21,4,0
N20000280,NI data zone,110,76,31,6,0
N20000281,NI data zone,116,71,36,10,0
N20000282,NI data zone,62,53,29,2,0
N20000283,NI data zone,138,93,39,19,7
N20000284,NI data zone,77,72,42,19,1
N20000285,NI data zone,102,73,40,4,1
N20000286,NI data zone,84,49,36,8,0
N20000287,NI data zone,119,81,37,5,0
N20000288,NI data zone,74,73,45,22,3
N20000289,NI data zone,43,56,43,12,3
N20000290,NI data zone,29,36,32,33,2
N20000291,NI data zone,43,57,27,6,0
N20000292,NI data zone,80,61,32,8,0
N20000293,NI data zone,78,71,26,4,1
N20000294,NI data zone,115,79,58,17,0
N20000476,NI data zone,87,56,21,8,0
N20000711,NI data zone,93,93,51,11,0
N20000712,NI data zone,86,42,22,11,0
N20000713,NI data zone,61,57,56,27,2
N20000714,NI data zone,27,37,27,16,0
N20000715,NI data zone,74,65,68,14,0
N20000716,NI data zone,126,104,64,20,0
N20000717,NI data zone,53,75,65,32,1
N20000718,NI data zone,57,51,49,19,0
N20000719,NI data zone,34,58,58,62,10
N20000720,NI data zone,71,59,31,2,1
N20000721,NI data zone,39,55,30,14,0
N20000722,NI data zone,83,71,35,16,0
N20000723,NI data zone,96,84,67,17,2
N20000724,NI data zone,98,30,22,11,0
N20000725,NI data zone,30,57,45,36,5
N20000726,NI data zone,93,81,53,14,0
N20000727,NI data zone,64,61,43,9,1
N20000728,NI data zone,43,77,70,15,0
N20000729,NI data zone,32,50,51,21,2
N20000730,NI data zone,77,103,90,25,3
N20000731,NI data zone,170,52,18,7,0
N20000732,NI data zone,69,70,55,17,3
N20000733,NI data zone,106,81,36,17,2
N20000734,NI data zone,60,46,21,3,0
N20000735,NI data zone,69,69,41,13,0
N20000736,NI data zone,44,78,75,36,7
N20000737,NI data zone,52,81,60,26,5
N20000738,NI data zone,72,47,45,16,4
N20000739,NI data zone,17,50,57,24,0
N20000740,NI data zone,57,66,38,11,2
N20000741,NI data zone,57,70,45,16,1
N20000742,NI data zone,65,59,31,17,1
N20000743,NI data zone,64,64,40,31,0
N20000744,NI data zone,44,71,67,36,0
N20000745,NI data zone,32,61,62,40,10
N20000746,NI data zone,71,89,85,34,3
N20000747,NI data zone,58,44,48,37,3
N20000748,NI data zone,49,74,90,43,4
N20000749,NI data zone,54,76,63,31,4
