dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000107,NI data zone,37,104,45,21,54,4,133,4
N20000108,NI data zone,18,108,53,20,31,9,110,0
N20000109,NI data zone,17,242,71,38,67,6,107,4
N20000110,NI data zone,18,284,78,69,51,0,158,1
N20000111,NI data zone,16,238,75,36,46,19,122,6
N20000112,NI data zone,19,130,70,17,16,0,70,1
N20000113,NI data zone,20,162,29,20,67,9,94,1
N20000114,NI data zone,10,148,55,26,59,0,140,2
N20000115,NI data zone,28,292,87,38,94,12,169,8
N20000116,NI data zone,22,103,51,17,30,10,79,0
N20000117,NI data zone,9,138,76,16,26,2,74,2
N20000118,NI data zone,6,188,51,39,33,0,99,2
N20000119,NI data zone,9,120,44,24,28,2,102,2
N20000120,NI data zone,11,205,37,13,46,7,80,4
N20000121,NI data zone,40,302,58,22,115,7,143,17
N20000122,NI data zone,25,335,69,23,101,3,148,5
N20000123,NI data zone,19,228,41,41,65,2,90,2
N20000124,NI data zone,31,156,59,14,76,3,113,6
N20000125,NI data zone,23,184,73,10,50,4,96,1
N20000126,NI data zone,75,154,103,42,59,2,174,1
N20000127,NI data zone,6,73,33,4,25,0,50,2
N20000128,NI data zone,96,201,86,45,86,5,177,5
N20000129,NI data zone,54,246,137,39,76,6,260,10
N20000130,NI data zone,29,181,48,50,71,4,167,11
N20000131,NI data zone,18,142,67,14,24,2,113,9
N20000132,NI data zone,121,131,58,27,39,10,213,7
N20000133,NI data zone,80,194,111,55,118,8,168,6
N20000134,NI data zone,162,140,96,26,77,13,157,6
N20000135,NI data zone,82,143,87,31,66,4,105,5
N20000136,NI data zone,32,155,89,41,54,3,110,8
N20000137,NI data zone,17,127,68,28,59,5,139,13
N20000138,NI data zone,21,163,73,39,72,3,112,13
N20000139,NI data zone,26,162,67,42,47,11,99,8
N20000140,NI data zone,159,127,50,21,71,13,215,63
N20000141,NI data zone,51,88,25,23,45,4,116,0
N20000142,NI data zone,9,109,56,17,48,1,98,11
N20000143,NI data zone,119,131,128,17,38,9,183,0
N20000144,NI data zone,43,96,36,50,26,2,126,2
N20000145,NI data zone,9,94,28,22,26,1,74,6
N20000146,NI data zone,16,123,61,25,42,7,128,2
N20000147,NI data zone,28,174,77,19,28,1,175,1
N20000148,NI data zone,34,117,53,12,28,1,64,1
N20000149,NI data zone,97,134,111,26,37,15,184,12
N20000150,NI data zone,3,115,60,19,41,2,75,4
N20000151,NI data zone,76,181,95,43,44,11,152,8
N20000152,NI data zone,92,77,40,13,23,25,95,3
N20000153,NI data zone,14,162,112,40,57,9,143,13
N20000154,NI data zone,15,309,107,54,64,10,217,10
N20000155,NI data zone,11,99,66,28,29,1,119,3
N20000156,NI data zone,71,218,62,37,69,5,201,9
N20000157,NI data zone,93,257,61,33,53,7,168,4
N20000158,NI data zone,76,148,111,26,33,20,174,8
N20000159,NI data zone,3,84,80,38,41,0,134,5
N20000160,NI data zone,99,85,63,11,41,5,54,7
N20000161,NI data zone,127,78,60,14,66,18,181,3
N20000162,NI data zone,115,186,122,34,73,13,180,25
N20000163,NI data zone,84,131,65,26,60,11,150,4
N20000164,NI data zone,145,162,37,36,35,0,153,2
N20000165,NI data zone,31,89,88,29,71,12,140,2
N20000166,NI data zone,77,88,47,13,30,6,125,8
N20000167,NI data zone,60,79,41,12,31,3,78,3
N20000168,NI data zone,18,144,53,56,29,0,125,3
N20000169,NI data zone,236,37,36,7,14,5,82,12
N20000170,NI data zone,21,104,61,25,56,21,175,14
N20000171,NI data zone,63,98,51,27,66,10,133,8
N20000172,NI data zone,194,61,39,18,42,35,200,6
N20000173,NI data zone,266,128,55,22,29,11,112,16
N20000174,NI data zone,13,221,97,25,86,3,167,11
N20000175,NI data zone,83,109,35,12,34,15,148,7
N20000176,NI data zone,29,96,52,23,41,8,158,4
N20000177,NI data zone,150,36,25,5,28,12,95,2
N20000178,NI data zone,219,48,34,17,16,10,88,10
N20000179,NI data zone,72,142,60,47,67,24,161,17
N20000180,NI data zone,7,165,84,33,63,2,125,4
N20000181,NI data zone,23,121,86,52,44,5,122,9
N20000182,NI data zone,16,209,102,55,69,2,200,27
N20000183,NI data zone,16,131,70,31,55,8,107,5
N20000184,NI data zone,6,95,69,37,32,4,167,6
N20000185,NI data zone,16,62,29,12,33,8,79,2
N20000186,NI data zone,52,37,17,13,20,3,61,0
N20000187,NI data zone,14,104,64,48,34,3,93,11
N20000188,NI data zone,104,122,84,35,31,12,101,12
N20000189,NI data zone,5,182,88,69,60,6,150,12
N20000190,NI data zone,15,124,58,20,35,3,103,0
N20000191,NI data zone,22,113,56,31,69,9,101,6
N20000192,NI data zone,9,86,35,29,25,0,67,8
N20000193,NI data zone,9,84,39,28,18,4,52,5
N20000194,NI data zone,9,93,62,23,52,4,108,6
N20000195,NI data zone,21,162,87,71,50,1,123,15
N20000196,NI data zone,7,63,36,25,28,0,51,6
N20000197,NI data zone,10,42,25,41,20,5,63,3
N20000198,NI data zone,11,92,72,23,48,9,94,10
N20000199,NI data zone,8,151,93,59,52,1,140,6
N20000200,NI data zone,29,157,67,95,62,4,140,4
N20000201,NI data zone,202,104,61,22,35,3,124,16
N20000202,NI data zone,6,77,73,79,36,1,120,6
N20000203,NI data zone,107,52,25,10,17,18,85,0
N20000204,NI data zone,98,68,32,16,23,13,124,6
N20000205,NI data zone,52,63,41,18,19,10,113,3
N20000206,NI data zone,53,59,45,15,28,3,76,5
N20000207,NI data zone,384,8,14,0,8,3,25,5
N20000208,NI data zone,381,14,8,7,8,3,57,6
N20000209,NI data zone,406,13,9,0,9,6,51,6
N20000210,NI data zone,539,24,5,3,10,2,52,24
N20000211,NI data zone,148,134,71,28,43,10,178,5
N20000212,NI data zone,11,185,57,21,30,0,202,7
N20000213,NI data zone,26,110,41,23,34,1,155,1
N20000214,NI data zone,31,139,45,21,27,0,55,4
N20000215,NI data zone,111,118,75,20,41,10,122,1
N20000216,NI data zone,30,84,47,17,22,7,66,7
N20000217,NI data zone,81,202,81,23,36,12,156,4
N20000218,NI data zone,81,182,62,48,58,9,137,8
N20000219,NI data zone,311,78,59,41,55,38,132,8
N20000220,NI data zone,75,155,50,22,36,0,90,6
N20000221,NI data zone,77,137,63,43,58,11,128,8
N20000222,NI data zone,80,144,47,35,32,14,120,13
N20000223,NI data zone,126,116,37,53,25,8,127,2
N20000224,NI data zone,160,120,43,23,20,6,85,2
N20000225,NI data zone,19,78,31,24,30,8,105,11
N20000226,NI data zone,142,125,77,36,42,18,150,15
N20000227,NI data zone,145,111,57,32,24,15,100,3
N20000228,NI data zone,58,104,48,36,44,12,122,2
N20000229,NI data zone,49,100,52,57,38,9,145,11
N20000230,NI data zone,139,102,58,30,32,0,161,2
