dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000157,NI data zone,38,16,52,65,29,17,18,38,3
N20000158,NI data zone,33,14,50,68,19,7,5,46,1
N20000159,NI data zone,22,24,10,24,16,33,8,8,4
N20000160,NI data zone,0,6,12,69,5,4,0,3,2
N20000161,NI data zone,7,46,39,66,19,9,4,11,8
N20000162,NI data zone,36,31,49,51,27,6,13,43,9
N20000163,NI data zone,3,30,38,71,13,16,8,3,6
N20000164,NI data zone,14,9,42,73,27,1,6,16,8
N20000165,NI data zone,19,40,45,45,17,9,8,9,6
N20000166,NI data zone,24,19,23,33,15,10,4,28,6
N20000167,NI data zone,30,39,23,21,9,5,7,21,3
N20000168,NI data zone,32,33,26,34,11,13,9,31,4
N20000169,NI data zone,31,91,30,15,7,23,21,13,6
N20000170,NI data zone,24,40,22,44,9,21,13,20,2
N20000171,NI data zone,28,69,25,35,16,18,11,10,4
N20000172,NI data zone,13,33,39,73,20,16,11,10,7
N20000173,NI data zone,23,16,43,56,28,7,7,28,8
N20000174,NI data zone,33,50,27,43,14,46,24,22,11
N20000175,NI data zone,24,51,27,39,14,23,4,12,4
N20000176,NI data zone,13,22,33,27,22,15,18,15,4
N20000177,NI data zone,21,55,25,23,11,6,11,16,8
N20000178,NI data zone,18,38,18,22,7,40,22,14,6
N20000179,NI data zone,40,75,40,50,8,23,20,24,8
N20000180,NI data zone,18,38,27,35,13,38,7,16,6
N20000181,NI data zone,12,43,15,36,9,34,16,6,9
N20000182,NI data zone,26,48,30,40,15,65,21,13,12
N20000183,NI data zone,33,30,17,21,9,25,15,16,7
N20000184,NI data zone,16,40,14,22,6,54,19,7,6
N20000185,NI data zone,32,48,21,13,6,11,3,5,4
N20000186,NI data zone,34,40,11,8,8,6,3,10,3
N20000187,NI data zone,23,43,21,18,7,24,21,11,5
N20000188,NI data zone,22,38,37,45,16,1,5,22,5
N20000189,NI data zone,41,47,23,30,16,47,19,17,6
N20000190,NI data zone,12,52,19,22,5,26,18,5,7
N20000191,NI data zone,36,25,20,28,9,21,13,20,5
N20000192,NI data zone,21,55,11,10,3,13,17,6,6
N20000193,NI data zone,35,89,17,3,1,2,17,5,5
N20000194,NI data zone,12,89,13,13,1,45,13,0,5
N20000195,NI data zone,31,83,24,22,21,34,21,13,10
N20000196,NI data zone,19,46,12,16,1,9,10,6,3
N20000197,NI data zone,23,47,12,8,5,9,9,8,3
N20000198,NI data zone,66,80,17,7,10,13,7,25,6
N20000199,NI data zone,27,71,28,24,18,42,13,10,11
N20000200,NI data zone,33,61,31,30,15,25,23,23,14
N20000201,NI data zone,52,84,33,33,16,31,17,17,3
N20000202,NI data zone,24,71,22,21,11,30,14,11,2
N20000203,NI data zone,9,35,19,28,3,12,6,16,9
N20000204,NI data zone,31,50,33,29,6,15,8,14,4
N20000205,NI data zone,63,81,22,12,3,10,11,12,3
N20000206,NI data zone,36,41,34,12,11,6,7,14,4
N20000207,NI data zone,52,52,16,12,14,37,15,14,10
N20000208,NI data zone,11,28,22,21,13,65,12,6,9
N20000209,NI data zone,7,30,11,43,15,40,9,13,9
N20000210,NI data zone,26,60,10,20,11,64,28,21,14
N20000211,NI data zone,17,65,55,76,12,21,8,15,3
N20000212,NI data zone,23,55,17,37,8,46,12,15,4
N20000213,NI data zone,31,57,14,27,6,30,14,7,1
N20000214,NI data zone,42,5,20,18,12,8,8,35,1
N20000215,NI data zone,4,14,29,70,21,6,10,13,3
N20000216,NI data zone,22,23,23,16,6,5,5,35,4
N20000217,NI data zone,33,35,42,53,25,14,14,29,6
N20000218,NI data zone,69,23,32,33,29,7,24,52,5
N20000219,NI data zone,10,14,57,69,34,7,7,40,16
N20000220,NI data zone,51,25,28,29,12,10,9,44,3
N20000221,NI data zone,37,30,31,42,21,16,13,35,4
N20000222,NI data zone,26,29,39,38,21,18,10,23,2
N20000223,NI data zone,23,22,33,48,21,13,16,17,4
N20000224,NI data zone,27,28,35,27,22,8,7,37,6
N20000225,NI data zone,29,37,11,18,8,23,12,15,1
N20000226,NI data zone,24,40,40,54,23,17,17,34,7
N20000227,NI data zone,18,22,35,48,24,8,3,27,6
N20000228,NI data zone,31,49,23,25,19,24,12,14,6
N20000229,NI data zone,23,84,24,22,6,37,18,12,6
N20000230,NI data zone,21,49,41,45,17,21,12,14,5
N20000231,NI data zone,40,19,23,35,22,8,13,37,10
N20000232,NI data zone,23,16,23,28,9,10,6,18,5
N20000233,NI data zone,31,31,21,32,16,15,17,17,9
N20000234,NI data zone,25,29,20,37,14,16,11,18,3
N20000235,NI data zone,34,38,13,30,13,9,8,17,4
N20000236,NI data zone,55,63,17,25,7,16,15,18,10
N20000237,NI data zone,72,61,23,23,6,26,10,13,1
N20000238,NI data zone,23,34,43,52,14,10,22,36,10
N20000239,NI data zone,35,12,39,34,27,8,6,22,7
N20000240,NI data zone,33,27,21,24,17,10,9,16,6
N20000241,NI data zone,28,18,13,23,5,8,10,21,5
N20000242,NI data zone,20,34,21,39,16,19,18,17,10
N20000243,NI data zone,19,23,29,28,15,11,8,12,4
