dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20002714,NI data zone,43,70,24,17,4,29,13,19,9
N20002715,NI data zone,45,27,26,29,26,13,14,36,3
N20002716,NI data zone,1,77,41,88,17,51,14,6,4
N20002717,NI data zone,35,44,16,17,10,12,13,12,1
N20002718,NI data zone,44,50,27,25,21,8,14,31,6
N20002719,NI data zone,24,57,19,19,10,44,9,8,6
N20002720,NI data zone,45,54,17,18,11,18,15,23,1
N20002721,NI data zone,55,40,15,3,5,2,4,11,4
N20002722,NI data zone,34,12,26,26,13,11,8,50,5
N20002723,NI data zone,28,57,14,20,10,48,11,11,3
N20002724,NI data zone,39,78,23,13,5,11,10,10,6
N20002725,NI data zone,23,33,17,17,5,5,7,18,2
N20002726,NI data zone,58,29,35,30,27,5,9,47,8
N20002727,NI data zone,36,95,20,16,8,18,15,11,10
N20002728,NI data zone,31,37,20,30,17,18,11,20,1
N20002729,NI data zone,41,43,3,0,1,0,4,8,3
N20002730,NI data zone,2,8,34,57,24,6,4,6,2
N20002731,NI data zone,13,41,58,54,20,20,10,13,9
N20002732,NI data zone,22,56,35,28,15,21,15,15,2
N20002733,NI data zone,3,23,38,69,5,9,4,7,3
N20002734,NI data zone,25,60,19,8,7,14,5,14,7
N20002735,NI data zone,43,89,37,25,10,16,12,14,3
N20002736,NI data zone,25,25,39,32,12,4,6,23,4
N20002737,NI data zone,7,29,42,67,26,16,7,14,3
N20002738,NI data zone,4,31,44,47,6,22,8,7,2
N20002739,NI data zone,40,52,59,44,25,6,10,40,7
N20002740,NI data zone,37,62,39,50,20,25,12,21,6
N20002741,NI data zone,48,36,32,31,22,19,14,17,2
N20002742,NI data zone,36,37,49,77,35,8,16,35,19
N20002743,NI data zone,42,39,63,76,41,15,17,47,10
N20002744,NI data zone,24,43,59,77,34,5,14,24,16
N20002745,NI data zone,17,39,41,45,14,25,8,18,6
N20002746,NI data zone,28,20,51,56,40,4,7,34,12
N20002747,NI data zone,29,25,34,52,31,7,12,26,11
N20002748,NI data zone,25,46,27,33,13,24,8,17,8
N20002749,NI data zone,15,15,38,31,12,7,5,25,2
N20002750,NI data zone,9,29,22,45,7,17,5,6,2
N20002751,NI data zone,30,25,46,48,27,10,9,37,4
N20002752,NI data zone,16,26,24,27,8,15,9,13,1
N20002753,NI data zone,17,25,30,43,14,15,8,16,7
N20002754,NI data zone,24,37,17,25,9,14,8,4,1
N20002755,NI data zone,34,21,47,35,26,2,6,48,3
N20002756,NI data zone,50,63,16,20,8,23,14,18,2
N20002757,NI data zone,20,23,31,48,23,17,7,21,4
N20002758,NI data zone,24,25,34,29,14,1,8,37,8
N20002759,NI data zone,39,45,18,10,4,11,7,3,2
N20002760,NI data zone,37,78,24,24,16,22,16,16,4
N20002761,NI data zone,30,29,35,39,20,15,14,19,7
N20002762,NI data zone,60,26,50,47,29,4,10,55,6
N20002763,NI data zone,13,11,38,40,34,3,4,18,3
N20002764,NI data zone,14,23,46,60,26,9,9,14,3
N20002765,NI data zone,0,24,32,73,34,15,8,8,3
N20002766,NI data zone,4,3,23,25,19,3,2,19,5
N20002767,NI data zone,26,49,30,31,11,18,6,10,5
N20002768,NI data zone,7,20,51,104,48,11,14,20,8
N20002769,NI data zone,2,16,43,83,19,16,6,1,3
N20002770,NI data zone,2,11,28,105,26,20,6,5,6
N20002771,NI data zone,6,15,28,37,17,7,1,8,0
N20002772,NI data zone,9,19,6,20,12,47,17,1,6
N20002773,NI data zone,27,19,25,24,25,8,6,34,6
N20002774,NI data zone,11,32,63,64,48,18,10,26,10
N20002775,NI data zone,19,22,86,63,48,8,8,34,9
N20002776,NI data zone,9,12,19,23,14,12,5,14,1
N20002777,NI data zone,16,22,30,41,26,5,3,19,6
N20002778,NI data zone,36,49,66,62,17,19,17,29,8
N20002779,NI data zone,41,40,24,29,13,26,10,13,5
N20002780,NI data zone,43,60,26,24,11,26,29,16,3
N20002781,NI data zone,28,76,21,27,9,54,18,8,12
N20002782,NI data zone,24,22,25,22,17,14,16,17,4
N20002783,NI data zone,41,7,38,21,10,4,6,53,3
N20002784,NI data zone,15,18,20,26,15,19,9,19,2
N20002785,NI data zone,26,13,22,28,9,10,3,41,3
N20002786,NI data zone,26,27,34,34,37,8,13,21,3
N20002787,NI data zone,29,49,20,22,16,23,14,10,8
N20002788,NI data zone,38,28,30,35,15,12,13,29,3
N20002789,NI data zone,68,45,35,27,21,4,8,45,7
N20002790,NI data zone,27,60,41,31,21,23,15,24,8
N20002791,NI data zone,27,40,12,32,20,17,9,3,5
N20002792,NI data zone,66,69,35,13,11,22,12,32,7
N20002793,NI data zone,80,40,14,4,4,1,9,24,6
N20002794,NI data zone,28,35,27,29,13,23,8,20,9
N20002795,NI data zone,89,97,24,12,4,23,12,24,5
N20002796,NI data zone,25,76,31,9,12,30,14,9,12
N20002797,NI data zone,13,79,29,45,10,27,7,6,15
N20002798,NI data zone,42,130,24,13,3,11,10,10,9
N20002799,NI data zone,27,53,28,37,13,26,13,16,9
N20002800,NI data zone,76,98,44,15,10,7,10,52,3
N20002801,NI data zone,62,30,14,2,2,3,2,31,0
N20002802,NI data zone,35,24,58,79,55,7,19,34,19
N20002803,NI data zone,24,23,43,30,20,9,11,35,1
N20002804,NI data zone,26,13,62,35,45,3,8,56,6
N20002805,NI data zone,12,20,32,48,34,11,4,13,5
N20002806,NI data zone,14,27,32,47,31,17,7,7,2
N20002807,NI data zone,13,10,31,15,19,1,8,28,2
N20002808,NI data zone,27,24,70,38,50,9,8,39,9
N20002809,NI data zone,26,23,44,48,36,6,7,34,14
N20002810,NI data zone,17,36,47,24,19,9,10,15,7
N20002811,NI data zone,46,36,17,14,9,24,13,9,8
N20002812,NI data zone,17,25,19,19,4,13,5,10,4
N20002813,NI data zone,12,33,31,32,8,49,13,5,7
N20002814,NI data zone,37,29,67,46,35,11,8,32,8
N20002815,NI data zone,16,31,14,19,6,23,10,8,3
N20002816,NI data zone,23,32,13,17,7,28,18,15,5
N20002817,NI data zone,26,46,25,38,12,23,8,6,4
N20002818,NI data zone,15,62,15,26,5,61,13,10,15
N20002819,NI data zone,27,74,23,31,12,35,25,27,9
N20002820,NI data zone,22,29,27,29,12,20,11,12,5
N20002821,NI data zone,23,71,24,40,15,48,19,19,16
N20002822,NI data zone,10,25,46,56,27,26,10,9,6
N20002823,NI data zone,29,27,54,58,33,15,12,34,8
N20002824,NI data zone,11,30,28,16,5,8,1,20,2
N20002825,NI data zone,31,17,53,83,24,10,8,44,9
N20002826,NI data zone,30,19,37,57,30,10,9,28,4
N20002827,NI data zone,11,31,33,68,12,11,7,7,2
N20002828,NI data zone,16,33,30,32,10,10,11,14,6
N20002829,NI data zone,41,81,27,33,17,32,18,9,11
N20002830,NI data zone,50,65,37,41,10,6,9,30,5
N20002831,NI data zone,35,83,12,13,5,16,12,10,5
N20002832,NI data zone,13,13,34,66,20,13,5,18,5
N20002833,NI data zone,18,71,22,17,9,26,24,8,5
N20002834,NI data zone,16,32,22,18,8,27,17,10,8
N20002835,NI data zone,15,50,48,66,16,33,14,4,10
N20002836,NI data zone,24,61,64,51,17,5,13,23,5
N20002838,NI data zone,32,54,51,101,47,18,22,25,9
