dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000774,NI data zone,146,4,4,2,5,11,50,5
N20000777,NI data zone,206,3,0,1,1,4,9,3
N20000778,NI data zone,192,11,4,0,10,1,34,4
N20000779,NI data zone,272,12,0,0,4,26,27,3
N20000780,NI data zone,129,8,2,1,0,4,15,3
N20000781,NI data zone,386,5,5,0,5,1,8,9
N20000782,NI data zone,329,2,8,5,6,8,33,9
N20000783,NI data zone,445,7,2,0,15,24,64,23
N20000784,NI data zone,332,7,4,0,1,9,21,9
N20000785,NI data zone,407,10,7,1,1,1,30,13
N20000786,NI data zone,157,9,7,3,10,19,56,18
N20000825,NI data zone,141,15,7,0,32,22,97,6
N20000844,NI data zone,29,184,86,42,58,4,108,9
N20000847,NI data zone,29,78,41,27,27,10,97,4
N20000850,NI data zone,28,83,25,19,24,7,90,6
N20000851,NI data zone,61,192,43,22,31,4,107,7
N20000852,NI data zone,41,136,45,31,41,16,122,5
N20000853,NI data zone,58,140,82,16,41,6,163,26
N20000854,NI data zone,87,19,10,1,18,81,107,5
N20000855,NI data zone,486,78,64,10,62,141,410,247
N20000856,NI data zone,21,78,122,45,52,8,105,10
N20000857,NI data zone,142,30,16,5,29,126,217,1
N20000858,NI data zone,19,110,64,35,57,14,120,13
N20000859,NI data zone,45,66,27,34,30,11,158,3
N20000860,NI data zone,15,96,118,68,64,7,119,4
N20000861,NI data zone,25,75,86,50,30,5,137,4
N20000862,NI data zone,42,125,60,24,43,5,169,3
N20000863,NI data zone,25,71,46,30,36,7,97,7
N20000864,NI data zone,18,35,19,14,27,2,69,8
N20000865,NI data zone,19,89,47,22,41,14,156,7
N20000866,NI data zone,30,70,38,17,47,21,168,9
N20000867,NI data zone,26,77,54,13,33,4,173,15
N20000868,NI data zone,26,58,42,14,50,9,165,13
N20000869,NI data zone,29,55,52,21,47,7,175,3
N20000870,NI data zone,24,112,79,31,46,3,95,15
N20000871,NI data zone,27,89,61,27,45,3,139,10
N20000872,NI data zone,67,68,51,10,47,5,209,4
N20000873,NI data zone,22,87,82,25,38,0,68,5
N20000874,NI data zone,19,74,71,15,28,4,98,3
N20000875,NI data zone,82,88,45,25,45,7,162,4
N20000876,NI data zone,29,44,25,6,31,7,108,4
N20000877,NI data zone,27,161,80,42,51,6,150,9
N20000878,NI data zone,85,37,23,11,42,24,125,4
