dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000850,NI data zone,6,24,52,4,196
N20000851,NI data zone,10,35,56,3,363
N20000852,NI data zone,17,36,75,3,309
N20000853,NI data zone,15,45,79,7,387
N20000854,NI data zone,16,16,159,29,106
N20000855,NI data zone,191,86,264,30,926
N20000856,NI data zone,19,39,82,13,290
N20000857,NI data zone,19,27,314,52,156
N20000858,NI data zone,19,44,96,18,255
N20000859,NI data zone,17,35,168,21,133
N20000860,NI data zone,20,51,142,10,265
N20000861,NI data zone,17,53,135,17,190
N20000862,NI data zone,19,60,169,12,211
N20000863,NI data zone,12,31,66,19,191
N20000864,NI data zone,5,30,56,6,95
N20000865,NI data zone,20,37,126,7,205
N20000866,NI data zone,12,42,160,13,172
N20000867,NI data zone,20,36,114,7,216
N20000868,NI data zone,19,36,114,4,202
N20000869,NI data zone,19,42,120,11,196
N20000870,NI data zone,19,24,56,6,301
N20000871,NI data zone,22,37,127,9,207
N20000872,NI data zone,19,50,180,24,189
N20000873,NI data zone,14,33,81,5,194
N20000874,NI data zone,11,26,23,5,246
N20000875,NI data zone,15,56,151,12,224
N20000876,NI data zone,11,29,96,12,108
N20000877,NI data zone,24,44,82,7,370
N20000878,NI data zone,14,37,136,15,149
N20000879,NI data zone,9,29,108,6,112
N20000880,NI data zone,13,39,68,9,292
N20000881,NI data zone,17,33,149,28,240
N20000882,NI data zone,18,28,239,23,192
N20000883,NI data zone,21,40,119,17,176
N20000884,NI data zone,12,17,59,4,211
N20000885,NI data zone,15,33,125,13,202
N20000886,NI data zone,21,53,65,3,312
N20000887,NI data zone,29,68,120,16,403
N20000888,NI data zone,26,56,197,26,220
N20000889,NI data zone,6,27,112,9,128
N20000890,NI data zone,22,46,163,31,216
N20000891,NI data zone,15,45,127,9,176
N20000892,NI data zone,18,44,107,10,345
N20000893,NI data zone,20,48,110,16,326
N20000894,NI data zone,19,68,100,12,349
N20000895,NI data zone,12,20,97,9,95
N20000896,NI data zone,23,80,111,10,506
N20000897,NI data zone,14,34,129,33,200
N20000898,NI data zone,13,30,108,11,111
N20000899,NI data zone,16,45,140,20,223
N20000900,NI data zone,13,46,86,5,207
N20000901,NI data zone,19,37,145,17,139
N20000902,NI data zone,18,48,172,42,324
N20000903,NI data zone,20,57,60,6,286
N20000904,NI data zone,21,47,98,9,339
N20000905,NI data zone,20,25,146,17,200
N20000906,NI data zone,9,26,71,6,104
N20000907,NI data zone,21,49,144,13,176
N20000908,NI data zone,23,45,115,11,234
N20000909,NI data zone,30,59,204,50,350
N20000910,NI data zone,14,37,83,8,243
N20000911,NI data zone,15,27,48,5,182
N20000912,NI data zone,13,36,104,16,183
N20000913,NI data zone,16,29,92,7,175
N20000914,NI data zone,9,35,120,7,171
N20000915,NI data zone,20,32,70,6,152
N20000916,NI data zone,14,36,150,15,187
N20000917,NI data zone,19,48,163,19,187
N20000918,NI data zone,9,28,67,4,227
N20000919,NI data zone,15,39,88,11,269
N20000920,NI data zone,5,37,113,6,164
N20000921,NI data zone,17,28,47,2,215
N20000922,NI data zone,19,39,79,7,275
N20000923,NI data zone,15,33,133,11,179
N20000924,NI data zone,11,50,110,11,302
N20000925,NI data zone,8,32,81,7,110
N20000926,NI data zone,15,30,112,14,150
N20000927,NI data zone,21,54,117,13,381
N20000928,NI data zone,16,29,99,5,154
N20000929,NI data zone,15,37,123,11,131
N20000930,NI data zone,10,24,76,11,116
N20000931,NI data zone,14,39,139,11,305
N20000932,NI data zone,14,28,112,13,185
N20000933,NI data zone,25,38,138,12,187
N20000934,NI data zone,22,45,186,28,206
N20000935,NI data zone,21,40,139,11,238
N20000936,NI data zone,24,33,76,7,379
N20000937,NI data zone,29,43,176,16,207
N20000938,NI data zone,7,34,114,13,138
N20000939,NI data zone,19,44,112,7,166
N20000940,NI data zone,7,42,100,11,162
N20000941,NI data zone,23,72,204,22,308
N20000942,NI data zone,15,32,129,9,243
N20000943,NI data zone,13,33,151,12,158
N20000944,NI data zone,12,23,206,24,101
N20000945,NI data zone,17,35,168,14,148
N20000946,NI data zone,15,34,124,12,137
N20000947,NI data zone,13,45,74,11,233
N20000948,NI data zone,23,34,82,6,236
N20000949,NI data zone,20,71,119,7,364
N20000950,NI data zone,23,45,173,24,220
N20000951,NI data zone,16,26,71,8,168
N20000952,NI data zone,16,29,126,19,249
N20000953,NI data zone,19,41,144,19,349
N20000954,NI data zone,13,34,80,13,196
N20000955,NI data zone,15,38,88,34,218
N20000956,NI data zone,39,71,197,33,488
N20000957,NI data zone,22,53,122,15,231
N20000958,NI data zone,28,67,233,25,314
N20000959,NI data zone,20,46,127,35,273
N20000960,NI data zone,20,40,129,37,314
N20000961,NI data zone,16,45,103,34,256
N20000962,NI data zone,20,52,191,35,359
N20000963,NI data zone,15,27,121,21,148
N20000964,NI data zone,14,38,100,18,219
N20000965,NI data zone,25,34,113,26,331
N20000966,NI data zone,20,36,158,12,195
N20000967,NI data zone,16,32,98,24,328
N20000968,NI data zone,20,42,161,27,282
N20000969,NI data zone,27,43,185,33,306
N20000970,NI data zone,19,55,175,23,247
N20000971,NI data zone,26,44,135,38,293
N20000972,NI data zone,11,19,95,11,68
N20000973,NI data zone,19,25,100,19,166
N20000974,NI data zone,19,50,115,27,226
N20000975,NI data zone,31,48,195,39,283
N20000976,NI data zone,19,47,209,21,198
N20000977,NI data zone,22,45,144,21,191
N20000978,NI data zone,23,23,162,30,135
N20000979,NI data zone,16,49,191,32,248
N20000980,NI data zone,25,55,115,11,317
N20000981,NI data zone,23,49,171,28,205
N20000982,NI data zone,35,49,193,35,309
N20000983,NI data zone,20,54,130,38,354
N20000984,NI data zone,23,43,185,34,272
N20000985,NI data zone,13,19,91,25,135
N20000986,NI data zone,16,38,107,5,164
N20000987,NI data zone,17,53,167,14,240
N20000988,NI data zone,33,34,196,20,416
N20000989,NI data zone,17,54,106,10,251
N20000990,NI data zone,12,50,129,8,182
N20000991,NI data zone,14,38,110,14,182
N20000992,NI data zone,16,29,110,12,228
N20000993,NI data zone,29,67,179,15,255
N20000994,NI data zone,19,60,177,14,299
N20000995,NI data zone,23,79,252,44,384
N20000996,NI data zone,17,40,112,9,254
N20000997,NI data zone,13,69,204,35,343
N20000998,NI data zone,19,31,103,16,201
N20000999,NI data zone,20,27,58,0,168
N20001000,NI data zone,15,41,79,4,219
N20001001,NI data zone,28,37,133,21,247
N20001002,NI data zone,15,18,71,6,154
N20001003,NI data zone,22,35,104,11,165
N20001004,NI data zone,20,56,81,5,296
N20001005,NI data zone,16,46,125,39,312
N20001006,NI data zone,29,72,209,16,327
N20001007,NI data zone,39,70,217,28,413
N20001008,NI data zone,26,63,153,21,298
N20001009,NI data zone,19,39,129,9,235
N20001010,NI data zone,17,43,143,33,205
N20001011,NI data zone,24,77,144,7,315
N20001012,NI data zone,15,20,79,4,173
N20001013,NI data zone,25,58,144,14,307
N20001014,NI data zone,20,51,135,9,287
N20001015,NI data zone,34,47,219,19,293
N20001016,NI data zone,37,63,196,28,331
N20001017,NI data zone,10,22,136,8,144
N20001018,NI data zone,7,22,64,5,150
N20001019,NI data zone,23,58,201,20,207
N20001020,NI data zone,32,67,190,22,323
N20001021,NI data zone,28,42,187,19,179
N20001022,NI data zone,21,49,140,18,228
N20001023,NI data zone,18,54,186,17,173
N20001024,NI data zone,21,48,307,41,162
N20001025,NI data zone,13,24,101,6,122
N20001026,NI data zone,13,45,100,12,242
N20001027,NI data zone,16,34,146,7,161
N20001028,NI data zone,20,64,183,19,251
N20001029,NI data zone,13,24,164,10,126
N20001030,NI data zone,19,27,123,21,157
N20001031,NI data zone,16,33,118,11,148
N20001032,NI data zone,20,28,123,7,140
N20001033,NI data zone,23,51,164,19,287
N20001034,NI data zone,25,67,191,19,259
N20001035,NI data zone,33,63,159,36,276
N20001036,NI data zone,15,35,134,17,202
N20001037,NI data zone,23,42,163,31,207
N20001038,NI data zone,18,55,159,13,301
N20001039,NI data zone,31,42,193,16,277
N20001040,NI data zone,35,80,126,9,364
N20001041,NI data zone,18,56,132,6,350
N20001042,NI data zone,20,34,99,33,291
N20001043,NI data zone,8,23,79,9,146
N20001044,NI data zone,20,32,97,12,250
N20001045,NI data zone,16,42,114,13,199
N20001046,NI data zone,26,81,279,33,362
N20001047,NI data zone,19,54,189,20,272
N20001048,NI data zone,9,30,92,7,166
N20001049,NI data zone,15,30,110,12,194
N20001050,NI data zone,40,50,148,20,328
N20001051,NI data zone,23,38,142,11,222
N20001052,NI data zone,16,37,151,10,214
N20001053,NI data zone,31,76,175,15,452
N20001054,NI data zone,22,45,133,21,262
N20001055,NI data zone,12,40,78,8,167
N20001056,NI data zone,34,83,163,23,309
N20001057,NI data zone,17,25,92,14,185
N20001058,NI data zone,23,55,120,17,339
N20001059,NI data zone,18,50,159,18,205
N20001060,NI data zone,17,44,131,10,236
N20001061,NI data zone,15,36,201,24,304
N20001062,NI data zone,15,33,96,15,131
N20001063,NI data zone,21,51,226,22,313
N20001064,NI data zone,19,24,113,10,163
N20001065,NI data zone,19,64,136,11,316
N20001066,NI data zone,22,47,290,56,208
N20001067,NI data zone,17,30,120,24,173
N20001068,NI data zone,19,45,141,25,235
N20001069,NI data zone,21,41,168,27,210
N20001070,NI data zone,29,50,219,48,323
N20001071,NI data zone,17,40,144,8,185
N20001072,NI data zone,20,35,160,27,287
N20001073,NI data zone,16,45,198,17,273
N20001074,NI data zone,30,39,125,25,228
N20001075,NI data zone,14,39,151,15,246
N20001076,NI data zone,21,48,204,30,308
N20001077,NI data zone,24,56,231,19,302
N20001078,NI data zone,10,15,78,8,177
N20001079,NI data zone,12,25,161,14,141
N20001080,NI data zone,143,48,186,23,1065
N20001081,NI data zone,14,25,136,11,188
N20001082,NI data zone,13,37,61,5,287
N20001083,NI data zone,8,45,89,8,301
N20001084,NI data zone,38,42,68,6,621
N20001085,NI data zone,20,21,283,16,214
N20001086,NI data zone,9,35,46,3,303
N20001087,NI data zone,47,28,159,23,644
N20001088,NI data zone,18,20,205,19,208
N20001089,NI data zone,6,16,38,6,160
N20001090,NI data zone,16,32,111,13,451
N20001091,NI data zone,23,43,90,15,209
N20001092,NI data zone,16,53,64,9,333
N20001093,NI data zone,7,31,61,9,293
N20001094,NI data zone,13,35,80,7,243
N20001095,NI data zone,21,39,104,9,368
N20001096,NI data zone,24,39,125,9,256
N20001097,NI data zone,18,25,66,7,199
N20001098,NI data zone,21,33,140,9,169
N20001099,NI data zone,22,18,131,10,151
N20001100,NI data zone,21,42,114,9,212
N20001101,NI data zone,25,46,95,6,329
N20001102,NI data zone,19,29,97,4,151
N20001103,NI data zone,68,28,105,4,300
N20001104,NI data zone,21,52,121,10,280
N20001105,NI data zone,58,29,96,6,143
N20001106,NI data zone,22,66,193,20,206
N20001107,NI data zone,76,33,100,4,215
N20001108,NI data zone,10,18,67,6,117
N20001109,NI data zone,20,40,68,1,424
N20001110,NI data zone,32,21,61,5,166
N20001111,NI data zone,12,51,110,5,204
N20001112,NI data zone,94,46,112,5,256
N20001113,NI data zone,109,46,72,3,249
N20001114,NI data zone,66,50,87,7,217
N20001115,NI data zone,106,78,148,15,274
N20001116,NI data zone,14,34,89,6,195
N20001117,NI data zone,13,27,76,7,198
N20001118,NI data zone,30,42,159,16,237
N20001119,NI data zone,81,35,67,6,222
N20001120,NI data zone,162,70,46,11,304
N20001121,NI data zone,39,55,208,36,293
N20001122,NI data zone,34,13,84,4,115
N20001123,NI data zone,54,39,100,15,236
N20001124,NI data zone,74,63,214,20,245
N20001125,NI data zone,20,26,150,14,124
N20001126,NI data zone,53,75,213,15,297
N20001127,NI data zone,98,50,116,11,257
N20001128,NI data zone,13,27,84,4,126
N20001129,NI data zone,18,40,159,12,194
N20001130,NI data zone,168,58,49,5,258
N20001131,NI data zone,134,76,74,11,303
N20001132,NI data zone,64,37,127,7,272
N20001133,NI data zone,127,59,203,18,375
N20001134,NI data zone,110,62,119,19,270
N20001135,NI data zone,70,44,201,27,274
N20001136,NI data zone,96,31,99,9,254
N20001137,NI data zone,63,28,171,14,199
N20001138,NI data zone,32,49,163,16,205
N20001139,NI data zone,87,57,217,28,256
N20001140,NI data zone,52,50,180,15,259
N20001141,NI data zone,18,36,94,11,156
N20001142,NI data zone,123,48,125,18,304
N20001143,NI data zone,87,52,129,10,268
N20001144,NI data zone,57,48,212,20,186
N20001145,NI data zone,7,8,132,41,33
N20001146,NI data zone,15,32,116,7,103
N20001147,NI data zone,24,59,87,13,233
N20001148,NI data zone,30,22,125,28,223
N20001149,NI data zone,61,46,234,23,279
N20001150,NI data zone,20,36,160,10,165
N20001151,NI data zone,110,55,127,9,241
N20001152,NI data zone,31,28,157,16,112
N20001153,NI data zone,150,52,117,12,307
N20001154,NI data zone,18,25,76,10,177
N20001155,NI data zone,27,49,171,20,169
N20001156,NI data zone,27,38,202,51,361
N20001157,NI data zone,78,30,91,10,200
N20001158,NI data zone,20,35,167,13,199
N20001159,NI data zone,26,42,174,17,178
N20001160,NI data zone,17,31,132,13,128
N20001161,NI data zone,24,25,206,21,135
N20001162,NI data zone,327,73,102,33,1614
N20001163,NI data zone,12,28,122,7,159
N20001164,NI data zone,20,58,217,28,201
N20001165,NI data zone,15,43,160,15,245
N20001166,NI data zone,26,33,224,42,225
N20001167,NI data zone,44,66,174,71,314
N20001168,NI data zone,31,43,209,27,189
N20001169,NI data zone,31,33,126,51,287
N20001170,NI data zone,16,47,152,28,221
N20001171,NI data zone,16,21,81,22,153
N20001172,NI data zone,111,68,228,49,559
N20001173,NI data zone,12,28,158,27,192
N20001174,NI data zone,24,47,160,41,299
N20001175,NI data zone,17,27,111,25,164
N20001176,NI data zone,32,24,88,54,239
N20001177,NI data zone,23,41,110,49,261
N20001178,NI data zone,29,34,129,29,320
N20001179,NI data zone,17,21,129,22,79
N20001180,NI data zone,13,27,72,27,149
N20001181,NI data zone,16,24,109,23,108
N20001182,NI data zone,33,39,120,45,232
N20001183,NI data zone,21,36,129,43,224
N20001184,NI data zone,37,56,290,49,311
N20001185,NI data zone,29,39,127,52,260
N20001186,NI data zone,19,34,211,45,226
N20001187,NI data zone,15,15,54,17,153
N20001188,NI data zone,15,20,111,24,178
N20001189,NI data zone,19,26,104,37,248
N20001190,NI data zone,23,45,147,18,265
N20001191,NI data zone,22,32,120,51,205
N20001192,NI data zone,22,36,165,12,286
N20001193,NI data zone,18,25,97,29,183
N20001194,NI data zone,16,31,78,18,200
N20001195,NI data zone,33,59,208,40,339
N20001196,NI data zone,21,30,89,26,238
N20001197,NI data zone,18,37,151,22,210
N20001198,NI data zone,22,40,97,52,285
N20001199,NI data zone,20,31,135,38,318
N20001200,NI data zone,24,29,121,25,259
N20001201,NI data zone,14,40,167,18,232
N20001202,NI data zone,17,36,131,13,193
N20001203,NI data zone,26,51,113,12,264
N20001204,NI data zone,20,44,162,20,233
N20001205,NI data zone,15,33,79,10,229
N20001206,NI data zone,5,18,44,4,82
N20001207,NI data zone,11,20,63,4,226
N20001208,NI data zone,16,68,89,10,377
N20001209,NI data zone,10,34,92,10,248
N20001210,NI data zone,11,49,144,7,282
N20001211,NI data zone,14,36,136,11,268
N20001212,NI data zone,18,22,76,14,150
N20001213,NI data zone,10,40,98,11,185
N20001214,NI data zone,16,25,148,16,223
N20001215,NI data zone,27,65,199,14,349
N20001216,NI data zone,14,30,87,10,149
N20001217,NI data zone,17,43,180,34,288
N20001218,NI data zone,13,23,118,21,196
N20001219,NI data zone,18,40,128,16,223
N20001220,NI data zone,17,42,171,17,287
N20001221,NI data zone,24,36,141,18,224
N20001222,NI data zone,15,37,87,10,230
N20001223,NI data zone,23,64,163,21,355
N20001224,NI data zone,20,41,102,8,222
N20001225,NI data zone,11,26,55,6,140
N20001226,NI data zone,15,23,100,18,266
N20001227,NI data zone,10,19,87,7,148
N20001228,NI data zone,17,28,88,5,223
N20001229,NI data zone,15,41,114,8,240
N20001230,NI data zone,23,26,160,39,377
N20001231,NI data zone,27,47,165,37,277
N20001232,NI data zone,20,55,168,38,330
N20001233,NI data zone,18,48,149,22,255
N20001234,NI data zone,24,41,180,21,202
N20001235,NI data zone,9,22,47,4,238
N20001237,NI data zone,13,45,118,12,245
N20001238,NI data zone,7,16,78,7,160
N20001244,NI data zone,34,81,219,28,432
N20001245,NI data zone,21,45,124,12,238
N20001247,NI data zone,22,61,130,4,262
N20001249,NI data zone,23,70,135,12,409
N20001251,NI data zone,38,66,228,19,344
N20001253,NI data zone,39,80,245,20,353
N20001254,NI data zone,26,65,146,11,409
