dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000558,NI data zone,161,73,31,5,0
N20000559,NI data zone,80,55,24,6,0
N20000560,NI data zone,71,40,20,4,0
N20000561,NI data zone,164,97,29,6,0
N20000562,NI data zone,91,46,12,1,0
N20000563,NI data zone,111,99,34,4,0
N20000564,NI data zone,129,58,25,8,1
N20000565,NI data zone,119,74,34,11,0
N20000566,NI data zone,69,64,55,12,1
N20000567,NI data zone,110,77,63,24,2
N20000568,NI data zone,141,59,10,1,0
N20000569,NI data zone,105,101,47,8,1
N20000570,NI data zone,54,70,81,20,0
N20000571,NI data zone,118,75,62,6,0
N20000572,NI data zone,181,66,24,6,0
N20000573,NI data zone,176,82,32,12,2
N20000574,NI data zone,106,115,90,20,2
N20000575,NI data zone,125,80,38,5,0
N20000576,NI data zone,141,50,16,1,0
N20000577,NI data zone,112,45,14,4,0
N20000578,NI data zone,117,99,37,7,0
N20000579,NI data zone,107,64,29,6,1
N20000580,NI data zone,125,95,40,6,1
N20000581,NI data zone,99,37,20,8,0
N20000582,NI data zone,109,62,39,8,0
N20000583,NI data zone,99,62,31,5,1
N20000584,NI data zone,161,65,37,7,0
N20000585,NI data zone,80,55,22,4,0
N20000586,NI data zone,94,71,33,7,1
N20000587,NI data zone,129,76,46,9,0
N20000588,NI data zone,103,54,33,7,0
N20000589,NI data zone,73,47,33,10,1
N20000590,NI data zone,59,60,26,14,0
N20000591,NI data zone,68,57,24,1,0
N20000592,NI data zone,114,53,36,8,0
N20000593,NI data zone,96,73,29,11,0
N20000594,NI data zone,74,42,12,4,0
N20000595,NI data zone,94,85,38,4,0
N20000596,NI data zone,68,60,50,14,2
N20000597,NI data zone,76,33,10,1,0
N20000598,NI data zone,48,79,77,36,12
N20000599,NI data zone,83,65,31,16,4
N20000600,NI data zone,90,58,37,10,0
N20000601,NI data zone,51,69,57,31,4
N20000602,NI data zone,80,65,32,14,0
N20000603,NI data zone,86,76,45,15,4
N20000604,NI data zone,67,49,15,3,0
N20000605,NI data zone,50,62,23,0,2
N20000606,NI data zone,60,49,42,15,0
N20000607,NI data zone,54,42,38,21,7
N20000608,NI data zone,92,53,19,3,0
N20000609,NI data zone,127,52,21,3,0
N20000610,NI data zone,112,75,34,8,0
N20000611,NI data zone,54,71,64,29,2
N20000612,NI data zone,50,60,80,41,9
N20000613,NI data zone,70,31,30,0,0
N20000614,NI data zone,127,113,49,8,0
