dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000450,NI data zone,25,8,26,23,24,5,9,14,0
N20000451,NI data zone,28,22,28,69,30,22,9,35,12
N20000452,NI data zone,9,36,24,43,12,23,7,4,6
N20000453,NI data zone,3,19,20,80,5,36,8,3,10
N20000454,NI data zone,18,21,19,29,9,18,7,11,5
N20000455,NI data zone,5,33,30,63,7,5,1,5,5
N20000456,NI data zone,15,24,19,45,12,6,7,26,8
N20000457,NI data zone,41,30,39,53,16,15,10,28,4
N20000458,NI data zone,22,22,21,30,21,6,9,23,9
N20000459,NI data zone,39,38,24,33,13,9,14,18,6
N20000460,NI data zone,16,53,42,79,13,17,6,19,25
N20000461,NI data zone,5,57,39,98,9,23,12,1,5
N20000462,NI data zone,21,20,29,44,27,10,11,30,2
N20000463,NI data zone,46,28,30,24,9,6,12,39,9
N20000464,NI data zone,15,9,33,58,21,5,5,40,3
N20000465,NI data zone,22,12,12,20,9,7,9,12,2
N20000466,NI data zone,37,47,25,33,11,28,18,15,12
N20000467,NI data zone,13,32,32,49,19,9,7,16,4
N20000468,NI data zone,28,42,18,30,8,22,19,19,18
N20000469,NI data zone,35,24,49,39,21,18,15,35,5
N20000470,NI data zone,12,22,31,57,15,8,4,12,10
N20000471,NI data zone,12,9,31,93,28,7,6,10,3
N20000472,NI data zone,22,28,36,55,23,15,11,18,9
N20000473,NI data zone,11,22,31,42,27,7,5,13,5
N20000474,NI data zone,23,28,51,71,39,5,10,36,8
N20000475,NI data zone,13,15,51,78,28,2,7,24,6
N20000477,NI data zone,13,26,29,54,26,17,11,14,11
N20000478,NI data zone,17,27,35,63,30,8,11,13,10
N20000479,NI data zone,17,17,21,33,17,16,15,14,2
N20000480,NI data zone,10,11,28,64,14,13,5,5,6
N20000481,NI data zone,26,20,27,61,33,5,23,36,6
N20000482,NI data zone,24,16,45,74,46,9,9,27,15
N20000483,NI data zone,7,28,52,106,9,10,6,9,5
N20000484,NI data zone,15,22,32,48,30,15,16,23,4
N20000485,NI data zone,18,16,18,75,20,22,19,22,6
N20000486,NI data zone,8,29,41,86,16,8,9,8,3
N20000487,NI data zone,19,15,32,52,38,1,4,24,7
N20000488,NI data zone,15,14,31,62,22,11,5,21,5
N20000489,NI data zone,9,19,20,33,23,17,8,24,11
N20000490,NI data zone,36,55,25,33,26,60,35,15,19
N20000491,NI data zone,32,32,18,18,15,31,16,21,7
N20000492,NI data zone,17,17,31,34,34,16,17,21,7
N20000493,NI data zone,34,20,36,32,53,5,17,37,6
N20000494,NI data zone,33,31,26,27,36,39,26,11,13
N20000495,NI data zone,5,20,18,91,20,22,6,2,8
N20000496,NI data zone,20,37,44,57,34,26,6,19,13
