dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20001036,NI data zone,20,19,34,46,10,3,7,18,5
N20001037,NI data zone,15,31,38,52,18,5,10,9,8
N20001038,NI data zone,76,57,33,33,15,10,17,15,13
N20001039,NI data zone,44,44,65,42,16,8,7,35,8
N20001040,NI data zone,28,49,25,44,14,45,18,13,14
N20001041,NI data zone,41,57,18,37,18,37,18,17,10
N20001042,NI data zone,20,6,16,43,17,3,3,22,1
N20001043,NI data zone,19,11,18,26,10,6,2,8,6
N20001044,NI data zone,47,179,22,9,6,12,15,11,3
N20001045,NI data zone,28,57,28,20,11,23,15,13,5
N20001046,NI data zone,57,93,49,70,33,15,22,21,9
N20001047,NI data zone,42,47,43,39,23,9,15,34,6
N20001048,NI data zone,18,15,21,38,4,7,5,16,2
N20001049,NI data zone,12,26,22,28,8,16,15,12,4
N20001050,NI data zone,35,11,42,57,22,6,8,40,7
N20001051,NI data zone,24,17,40,38,21,7,5,21,8
N20001052,NI data zone,26,25,47,37,15,7,9,19,5
N20001053,NI data zone,67,56,43,58,22,34,25,23,12
N20001054,NI data zone,18,33,24,49,19,6,11,19,8
N20001055,NI data zone,10,29,11,22,9,21,8,8,8
N20001056,NI data zone,25,31,38,60,27,17,14,20,7
N20001057,NI data zone,47,39,13,20,18,4,4,19,4
N20001058,NI data zone,27,44,26,38,19,36,22,18,9
N20001059,NI data zone,34,72,41,27,12,16,12,11,16
N20001060,NI data zone,17,19,28,42,14,16,8,20,6
N20001061,NI data zone,17,63,40,23,6,12,11,11,33
N20001062,NI data zone,8,29,19,25,10,3,7,17,10
N20001063,NI data zone,41,56,47,59,15,25,9,22,9
N20001064,NI data zone,6,97,33,8,1,19,12,10,16
N20001065,NI data zone,30,60,26,34,15,28,22,12,18
N20001066,NI data zone,12,56,56,63,10,7,9,16,38
N20001067,NI data zone,22,10,32,25,25,0,4,21,5
N20001068,NI data zone,19,20,39,55,10,3,6,17,4
N20001069,NI data zone,22,34,34,46,19,7,14,16,6
N20001070,NI data zone,20,53,40,69,15,8,13,11,26
N20001071,NI data zone,16,29,24,44,17,7,11,11,3
N20001072,NI data zone,26,49,34,45,19,10,6,18,7
N20001073,NI data zone,30,38,36,58,21,9,10,20,5
N20001074,NI data zone,17,19,28,40,19,6,8,23,6
N20001075,NI data zone,32,28,32,52,7,5,11,22,6
N20001076,NI data zone,46,66,42,55,19,3,14,29,7
N20001077,NI data zone,36,52,49,65,22,3,7,36,6
N20001078,NI data zone,33,22,21,24,6,0,4,28,4
N20001079,NI data zone,22,71,28,24,2,6,4,8,20
N20001080,NI data zone,1,48,37,27,1,1,2,9,35
N20001081,NI data zone,8,93,27,14,4,20,8,6,22
N20001082,NI data zone,15,54,8,15,7,31,20,6,14
N20001083,NI data zone,27,62,13,17,10,25,28,15,14
N20001084,NI data zone,23,59,14,5,9,33,12,3,5
N20001085,NI data zone,5,80,46,61,1,0,2,10,48
N20001086,NI data zone,53,60,11,6,9,19,20,14,12
N20001087,NI data zone,15,72,36,21,4,7,9,3,29
N20001088,NI data zone,6,75,60,29,1,7,5,9,33
N20001089,NI data zone,32,45,5,2,7,14,9,4,6
N20001090,NI data zone,26,115,28,13,6,18,10,5,26
N20001091,NI data zone,24,61,21,18,10,27,10,9,9
N20001092,NI data zone,38,54,12,16,10,50,8,6,14
N20001093,NI data zone,35,70,22,7,3,44,18,12,5
N20001094,NI data zone,26,54,19,5,7,20,19,6,19
N20001095,NI data zone,40,87,14,14,7,41,24,18,13
N20001096,NI data zone,13,82,32,19,6,37,10,8,19
N20001097,NI data zone,38,63,17,8,8,20,10,1,10
N20001098,NI data zone,20,56,34,18,7,10,10,10,19
N20001099,NI data zone,7,117,32,12,3,3,2,5,28
N20001100,NI data zone,16,74,24,9,5,24,9,19,21
N20001101,NI data zone,17,56,17,24,14,48,14,7,17
N20001102,NI data zone,13,54,29,11,1,9,2,12,23
N20001103,NI data zone,1,99,17,8,1,5,1,7,59
N20001104,NI data zone,22,81,26,17,7,40,13,15,21
N20001105,NI data zone,4,57,20,3,1,1,0,5,60
N20001106,NI data zone,14,91,43,23,8,10,7,15,45
N20001107,NI data zone,0,73,15,5,0,4,4,7,80
N20001108,NI data zone,7,67,16,4,1,3,3,8,17
N20001109,NI data zone,17,47,13,21,7,70,17,2,12
N20001110,NI data zone,18,87,12,5,0,6,0,5,31
N20001111,NI data zone,24,85,20,10,6,27,8,10,14
N20001112,NI data zone,6,69,28,6,0,1,2,2,89
N20001113,NI data zone,16,91,11,1,1,3,2,6,94
N20001114,NI data zone,6,84,13,3,2,14,3,9,65
N20001115,NI data zone,6,43,28,10,4,4,11,12,103
N20001116,NI data zone,16,66,24,14,8,27,6,14,7
N20001117,NI data zone,20,48,14,16,4,27,10,13,9
N20001118,NI data zone,16,60,23,17,7,27,19,9,43
N20001119,NI data zone,1,45,15,6,1,0,5,9,73
N20001120,NI data zone,2,52,5,0,1,0,1,11,130
N20001121,NI data zone,14,37,50,60,21,6,7,17,20
N20001122,NI data zone,0,54,19,4,1,1,0,11,38
N20001123,NI data zone,4,67,30,4,1,5,0,5,54
N20001124,NI data zone,9,68,45,12,2,4,11,16,103
N20001125,NI data zone,6,42,38,10,1,1,5,8,45
N20001126,NI data zone,7,94,44,23,1,21,3,13,78
N20001127,NI data zone,5,54,11,11,6,15,8,11,83
N20001128,NI data zone,13,54,20,15,4,4,2,10,13
N20001129,NI data zone,17,97,31,16,8,11,7,11,27
N20001130,NI data zone,2,55,1,10,1,4,3,9,117
N20001131,NI data zone,4,56,3,10,4,8,3,8,110
N20001132,NI data zone,32,103,18,7,1,1,0,12,74
N20001133,NI data zone,8,62,24,10,2,3,4,15,147
N20001134,NI data zone,17,69,28,19,7,7,4,13,75
N20001135,NI data zone,7,91,40,25,5,7,4,12,78
N20001136,NI data zone,6,49,16,5,0,4,2,7,92
N20001137,NI data zone,5,83,46,3,3,2,1,11,84
N20001138,NI data zone,17,71,41,26,4,15,12,10,25
N20001139,NI data zone,18,83,40,18,7,0,5,10,104
N20001140,NI data zone,27,60,27,16,4,9,6,9,81
N20001141,NI data zone,31,60,16,7,1,10,7,4,31
N20001142,NI data zone,10,54,31,7,0,2,4,10,119
N20001143,NI data zone,9,52,24,12,0,4,2,12,98
N20001144,NI data zone,5,72,63,21,2,8,6,4,72
N20001145,NI data zone,4,68,47,3,2,4,0,4,11
N20001146,NI data zone,10,53,29,18,6,5,4,3,14
N20001147,NI data zone,27,70,26,24,7,31,10,6,13
N20001148,NI data zone,29,57,29,25,4,4,6,10,11
N20001149,NI data zone,19,88,40,20,4,13,14,13,76
N20001150,NI data zone,7,51,29,21,7,22,13,5,24
N20001151,NI data zone,6,46,27,9,1,4,4,3,101
N20001152,NI data zone,8,59,30,10,0,4,6,3,49
N20001153,NI data zone,7,30,21,7,4,1,3,10,132
N20001154,NI data zone,14,44,19,15,3,20,7,7,13
N20001155,NI data zone,10,67,44,21,6,13,15,11,26
N20001156,NI data zone,27,79,50,57,13,3,7,21,19
N20001157,NI data zone,5,50,11,2,0,0,3,8,73
N20001158,NI data zone,41,97,40,18,6,13,15,8,16
N20001159,NI data zone,10,65,31,28,3,11,7,9,37
N20001160,NI data zone,17,74,35,10,1,16,11,3,17
N20001161,NI data zone,27,88,48,6,4,5,8,10,37
N20001162,NI data zone,24,36,19,24,8,4,3,23,9
N20001163,NI data zone,13,48,26,28,3,14,4,7,14
N20001164,NI data zone,26,68,58,35,15,13,11,11,13
N20001165,NI data zone,16,72,33,28,9,29,10,6,14
N20001166,NI data zone,20,70,47,44,22,3,9,15,21
N20001167,NI data zone,23,38,46,65,21,2,9,24,28
N20001168,NI data zone,28,80,56,34,2,7,3,15,40
N20001169,NI data zone,24,30,28,56,22,4,5,25,7
N20001170,NI data zone,23,45,43,48,9,4,7,20,10
N20001171,NI data zone,52,32,28,13,2,6,3,14,14
N20001172,NI data zone,18,27,35,107,22,9,11,31,7
N20001173,NI data zone,27,31,25,48,10,4,11,13,8
N20001174,NI data zone,32,30,33,68,15,9,6,24,6
N20001175,NI data zone,21,29,21,34,11,6,4,16,10
N20001176,NI data zone,32,12,20,37,21,3,7,26,6
N20001177,NI data zone,27,18,27,38,21,4,3,37,10
N20001178,NI data zone,25,13,37,50,28,2,4,39,6
N20001179,NI data zone,12,78,44,7,3,6,3,2,12
N20001180,NI data zone,9,15,19,20,23,3,1,15,3
N20001181,NI data zone,27,45,27,18,4,2,5,8,12
N20001182,NI data zone,20,13,35,47,19,7,6,20,6
N20001183,NI data zone,18,23,33,34,18,8,7,22,10
N20001184,NI data zone,30,101,66,51,14,15,19,27,23
N20001185,NI data zone,19,23,32,45,23,3,8,30,9
N20001186,NI data zone,35,73,59,31,15,8,7,25,15
N20001187,NI data zone,49,13,20,15,9,1,3,19,5
N20001188,NI data zone,37,27,35,26,8,2,4,17,8
N20001189,NI data zone,35,12,15,40,24,6,10,33,5
N20001190,NI data zone,28,14,26,34,38,4,14,32,2
N20001191,NI data zone,11,19,33,55,11,2,6,20,5
N20001192,NI data zone,22,18,26,39,36,8,11,31,5
N20001193,NI data zone,27,22,21,33,12,3,4,13,10
N20001194,NI data zone,24,20,24,25,8,24,9,11,4
N20001195,NI data zone,38,44,42,62,25,10,14,31,12
N20001196,NI data zone,16,21,24,45,13,0,6,31,1
N20001197,NI data zone,21,17,31,34,26,6,7,27,7
N20001198,NI data zone,33,12,21,50,22,4,7,35,1
N20001199,NI data zone,55,21,27,49,19,9,7,41,5
N20001200,NI data zone,34,22,24,42,12,3,8,21,6
N20001201,NI data zone,23,29,37,51,11,14,6,12,9
N20001202,NI data zone,22,40,24,35,13,12,13,10,7
N20001203,NI data zone,21,21,20,45,15,15,11,11,12
N20001204,NI data zone,22,19,22,54,25,3,8,24,3
N20001205,NI data zone,42,42,15,34,11,10,10,9,5
N20001206,NI data zone,21,42,11,2,0,14,6,7,3
N20001207,NI data zone,23,52,10,15,6,20,16,11,7
N20001208,NI data zone,39,51,12,28,17,50,17,11,16
N20001209,NI data zone,34,45,17,28,10,8,0,17,3
N20001210,NI data zone,14,32,28,45,18,22,21,9,7
N20001211,NI data zone,34,57,31,27,12,17,18,15,10
N20001212,NI data zone,12,4,21,25,16,0,3,20,2
N20001213,NI data zone,21,46,17,30,8,11,9,9,5
N20001214,NI data zone,26,71,33,19,8,29,16,10,10
N20001215,NI data zone,52,45,41,53,21,20,19,27,10
N20001216,NI data zone,15,29,16,29,8,8,7,11,4
N20001217,NI data zone,34,62,50,41,17,10,15,19,12
N20001218,NI data zone,24,19,26,46,8,1,4,19,3
N20001219,NI data zone,24,19,28,46,9,13,10,21,2
N20001220,NI data zone,39,25,38,51,10,5,16,35,10
N20001221,NI data zone,31,34,31,38,11,11,9,18,11
N20001222,NI data zone,19,60,13,23,11,29,10,11,3
N20001223,NI data zone,43,86,35,39,16,35,13,24,7
N20001224,NI data zone,48,75,28,19,8,24,10,8,3
N20001225,NI data zone,13,24,12,21,7,10,8,9,3
N20001226,NI data zone,52,8,14,35,22,3,2,43,4
N20001227,NI data zone,26,104,10,7,6,11,15,4,5
N20001228,NI data zone,63,48,18,12,10,12,16,16,6
N20001229,NI data zone,45,54,24,30,15,14,10,13,7
N20001230,NI data zone,30,12,30,66,23,3,10,55,5
N20001231,NI data zone,26,35,44,44,15,6,8,27,13
N20001232,NI data zone,33,47,40,58,9,29,13,17,11
N20001233,NI data zone,23,15,33,38,29,5,11,29,5
N20001234,NI data zone,14,57,36,57,7,10,9,8,5
N20001235,NI data zone,38,33,5,8,9,13,26,11,13
N20001237,NI data zone,19,18,12,22,36,15,16,29,9
N20001238,NI data zone,34,11,11,10,16,3,11,25,7
N20001244,NI data zone,44,35,45,43,44,10,32,60,16
N20001245,NI data zone,33,17,23,22,25,8,11,27,12
N20001247,NI data zone,46,23,23,27,27,13,15,25,8
N20001249,NI data zone,39,85,35,45,15,34,13,14,21
N20001251,NI data zone,40,33,28,46,41,16,24,30,13
N20001253,NI data zone,16,53,38,66,29,33,30,11,7
N20001254,NI data zone,10,29,22,51,30,26,19,12,4
N20001255,NI data zone,15,44,14,30,20,80,30,8,22
N20001256,NI data zone,15,35,23,16,23,34,13,7,14
N20001257,NI data zone,6,37,13,25,20,58,35,4,10
N20001258,NI data zone,16,24,56,63,87,12,24,33,18
N20001259,NI data zone,24,34,26,42,29,41,24,33,13
N20001260,NI data zone,11,21,24,57,15,12,10,20,8
N20001261,NI data zone,10,59,16,31,27,85,48,0,27
N20001262,NI data zone,17,42,11,13,11,46,28,6,14
N20001263,NI data zone,10,35,7,18,12,70,28,8,18
N20001264,NI data zone,17,32,44,68,55,7,19,27,7
N20001265,NI data zone,23,17,29,37,32,9,19,22,12
N20001266,NI data zone,21,45,13,19,20,66,19,4,15
N20001268,NI data zone,2,20,7,17,5,110,26,5,11
N20001269,NI data zone,40,79,11,12,5,38,22,10,13
N20001270,NI data zone,13,66,8,10,8,34,15,10,9
N20001271,NI data zone,21,17,25,47,18,9,9,22,6
N20001272,NI data zone,15,36,9,22,21,63,42,8,21
N20001274,NI data zone,13,53,13,14,16,38,23,8,5
N20001275,NI data zone,18,45,31,28,15,13,10,16,4
N20001276,NI data zone,29,52,6,18,12,54,24,11,9
N20001277,NI data zone,12,32,17,47,25,66,29,2,20
N20001278,NI data zone,7,33,15,67,9,35,9,1,12
N20001280,NI data zone,15,71,36,13,6,12,4,8,6
N20001281,NI data zone,10,53,33,25,3,15,5,2,6
N20001282,NI data zone,8,16,21,38,26,30,17,3,8
N20001283,NI data zone,24,35,8,9,7,29,22,14,13
N20001284,NI data zone,0,35,23,80,12,40,11,3,6
N20001285,NI data zone,43,42,11,22,10,18,9,9,4
N20001286,NI data zone,5,16,2,12,6,60,9,3,5
N20001287,NI data zone,24,39,7,19,10,27,22,12,13
N20001288,NI data zone,17,61,16,17,10,47,19,16,14
N20001289,NI data zone,34,54,8,28,4,20,14,13,10
N20001290,NI data zone,8,35,41,104,60,40,28,22,23
N20001291,NI data zone,4,21,13,67,7,50,14,1,6
N20001292,NI data zone,26,61,48,49,13,26,9,13,7
N20001293,NI data zone,18,28,5,13,13,35,25,11,9
N20001294,NI data zone,22,12,21,18,7,2,6,16,0
N20001295,NI data zone,25,43,7,17,9,30,16,6,5
N20001296,NI data zone,30,26,40,28,12,5,6,20,5
N20001304,NI data zone,27,54,8,6,7,73,32,4,13
N20001307,NI data zone,16,58,17,21,10,66,11,13,26
N20001311,NI data zone,15,66,18,11,8,36,8,3,16
N20001312,NI data zone,23,37,20,22,9,32,13,12,14
N20001315,NI data zone,16,50,18,26,7,34,15,9,23
N20001316,NI data zone,8,23,14,12,10,64,18,6,5
N20001318,NI data zone,29,43,31,20,19,21,16,19,11
N20001319,NI data zone,10,55,12,8,10,30,19,9,7
N20001321,NI data zone,29,55,21,29,13,36,26,12,18
N20001322,NI data zone,22,54,15,20,8,38,25,14,10
N20001324,NI data zone,15,60,12,22,5,65,20,10,6
N20001330,NI data zone,21,37,17,22,24,17,8,8,11
N20001333,NI data zone,24,38,22,31,28,9,11,10,8
N20001334,NI data zone,42,30,30,40,33,27,24,31,15
N20001336,NI data zone,49,46,10,4,0,20,10,10,6
N20001337,NI data zone,50,23,10,26,20,9,13,12,14
N20001340,NI data zone,28,24,23,29,15,19,11,16,12
N20001342,NI data zone,25,35,23,32,27,24,17,22,14
N20001345,NI data zone,21,33,11,33,17,20,25,16,14
N20001347,NI data zone,92,45,6,4,3,3,5,36,5
N20001350,NI data zone,21,33,22,24,18,12,14,24,13
N20001352,NI data zone,23,57,15,18,16,38,19,12,12
N20001354,NI data zone,35,71,18,13,20,14,19,20,12
N20001355,NI data zone,33,54,19,23,20,16,23,12,15
N20001357,NI data zone,27,48,15,19,14,20,17,17,8
N20001361,NI data zone,34,36,14,39,27,15,19,27,9
N20001364,NI data zone,42,34,30,30,31,15,30,18,14
N20001366,NI data zone,36,23,12,26,14,14,27,15,13
N20001367,NI data zone,28,25,11,27,13,10,20,21,11
N20001368,NI data zone,17,27,9,12,13,8,12,11,2
N20001389,NI data zone,25,74,3,22,11,72,22,5,14
N20001396,NI data zone,38,60,14,14,4,43,19,8,1
N20001398,NI data zone,44,69,13,11,6,33,10,11,8
N20001406,NI data zone,40,69,13,9,2,23,13,6,8
N20001409,NI data zone,13,29,11,11,7,17,13,9,2
N20001410,NI data zone,43,42,4,8,9,22,15,13,4
N20001412,NI data zone,29,33,9,10,7,23,15,5,3
N20001414,NI data zone,27,56,12,10,4,29,13,7,10
N20001415,NI data zone,21,58,6,10,5,37,10,7,7
N20001418,NI data zone,29,93,35,17,4,13,13,14,21
N20001421,NI data zone,17,39,7,14,9,46,13,6,10
N20001423,NI data zone,25,69,7,5,4,24,10,2,2
N20001425,NI data zone,3,58,34,14,0,9,8,7,10
N20001426,NI data zone,12,41,4,8,7,55,16,6,12
N20001429,NI data zone,15,49,7,8,6,77,37,7,22
N20001430,NI data zone,17,55,19,11,5,16,14,5,10
N20001431,NI data zone,39,54,6,4,3,42,7,10,4
N20001432,NI data zone,13,36,3,2,13,32,18,4,8
N20001433,NI data zone,29,40,4,3,4,55,26,8,16
N20001434,NI data zone,23,89,8,8,9,17,22,9,9
N20001435,NI data zone,8,44,4,13,4,62,5,2,3
N20001437,NI data zone,17,56,7,9,6,42,33,9,14
N20001438,NI data zone,13,36,6,7,5,40,24,6,15
N20001439,NI data zone,24,66,23,27,8,45,22,18,22
N20001440,NI data zone,23,43,14,11,10,36,24,10,11
N20001441,NI data zone,14,59,19,22,9,45,21,19,23
N20001442,NI data zone,15,29,11,20,33,26,27,13,15
N20001443,NI data zone,11,69,13,19,5,19,18,11,9
N20001444,NI data zone,30,68,8,9,13,65,45,9,19
N20001445,NI data zone,12,62,9,11,6,30,14,8,22
N20002252,NI data zone,28,100,27,33,16,23,17,23,5
N20002253,NI data zone,26,45,23,18,12,10,7,9,6
N20002254,NI data zone,36,31,43,32,12,18,14,28,13
N20002255,NI data zone,16,37,14,22,6,19,8,9,2
N20002256,NI data zone,23,35,39,32,15,12,11,22,7
N20002257,NI data zone,24,50,58,65,23,5,6,30,4
N20002258,NI data zone,31,48,38,48,18,18,12,22,11
N20002259,NI data zone,15,17,29,59,23,7,6,20,3
N20002260,NI data zone,29,31,37,52,18,6,10,31,10
N20002261,NI data zone,9,10,30,64,15,9,6,19,2
N20002262,NI data zone,19,23,41,36,30,7,16,23,6
N20002263,NI data zone,43,61,48,28,5,9,7,22,5
N20002264,NI data zone,31,19,40,35,34,7,5,36,5
N20002265,NI data zone,28,38,25,13,5,10,6,11,5
N20002266,NI data zone,17,15,33,70,18,1,2,34,3
N20002267,NI data zone,43,37,23,13,4,10,7,21,7
N20002268,NI data zone,44,22,69,99,47,13,21,53,13
N20002269,NI data zone,39,81,64,47,14,24,10,19,7
N20002270,NI data zone,15,45,23,19,3,14,4,5,0
N20002271,NI data zone,6,20,38,62,10,10,4,10,2
N20002272,NI data zone,15,51,61,63,7,18,4,14,3
N20002273,NI data zone,19,25,42,48,20,6,6,25,3
N20002274,NI data zone,31,31,42,55,16,7,8,30,1
N20002275,NI data zone,8,27,36,82,22,11,5,19,5
N20002276,NI data zone,15,18,30,41,26,5,13,20,11
N20002277,NI data zone,20,24,39,79,29,8,2,32,6
N20002278,NI data zone,33,20,27,32,15,10,7,24,2
N20002279,NI data zone,28,27,28,10,4,2,4,32,2
N20002280,NI data zone,17,19,37,38,24,4,3,32,1
N20002281,NI data zone,49,40,45,73,17,3,4,49,3
N20002282,NI data zone,44,40,26,36,9,8,15,27,3
N20002283,NI data zone,47,33,17,12,2,2,3,17,1
N20002284,NI data zone,24,20,51,92,34,2,10,46,8
N20002285,NI data zone,26,21,41,50,23,1,7,36,9
N20002286,NI data zone,9,7,24,34,22,1,2,28,6
N20002305,NI data zone,4,33,39,93,7,12,3,3,5
N20002307,NI data zone,5,3,27,35,28,0,3,17,1
N20002326,NI data zone,23,14,32,42,36,7,6,30,5
N20002330,NI data zone,53,23,36,39,21,8,4,44,7
N20002331,NI data zone,0,6,0,30,3,68,10,1,3
N20002333,NI data zone,15,11,21,27,22,9,7,19,7
N20002337,NI data zone,30,12,21,43,24,9,7,42,2
N20002338,NI data zone,20,13,13,26,5,3,3,29,3
N20002339,NI data zone,26,8,29,32,27,7,8,34,4
N20002340,NI data zone,26,31,11,8,6,12,15,10,1
N20002343,NI data zone,21,17,18,38,12,7,6,28,5
N20002345,NI data zone,28,51,23,24,9,16,13,12,3
N20002346,NI data zone,22,19,20,39,13,10,7,14,3
N20002347,NI data zone,34,43,23,39,18,25,30,19,4
N20002348,NI data zone,25,28,26,37,13,12,19,14,3
N20002350,NI data zone,28,20,57,37,18,8,7,34,5
N20002352,NI data zone,71,24,33,21,19,5,20,52,10
N20002353,NI data zone,5,35,31,109,33,22,9,6,10
N20002354,NI data zone,24,44,21,21,3,14,10,16,6
N20002355,NI data zone,29,34,24,31,19,27,19,18,8
N20002356,NI data zone,26,62,29,33,13,20,19,11,13
N20002357,NI data zone,22,18,21,39,18,10,9,15,9
N20002358,NI data zone,6,46,24,47,3,17,6,1,4
N20002359,NI data zone,12,39,10,15,6,10,9,6,2
N20002360,NI data zone,25,16,24,58,11,12,5,36,5
N20002361,NI data zone,14,29,15,30,7,31,6,10,7
N20002362,NI data zone,59,62,40,43,14,24,19,18,12
N20002363,NI data zone,31,59,26,26,16,27,21,15,19
N20002365,NI data zone,16,26,14,12,8,37,10,9,1
N20002366,NI data zone,25,50,39,31,18,20,14,20,9
N20002367,NI data zone,24,34,16,40,17,21,17,15,6
N20002368,NI data zone,18,75,14,32,9,48,23,10,7
N20002369,NI data zone,13,37,32,34,12,8,5,10,4
N20002370,NI data zone,12,21,10,40,9,50,19,11,6
N20002371,NI data zone,33,58,12,20,5,43,17,8,11
N20002372,NI data zone,44,30,45,42,28,10,10,38,5
N20002373,NI data zone,73,103,31,45,15,40,19,19,6
N20002374,NI data zone,28,62,27,27,7,37,23,12,11
N20002375,NI data zone,11,28,13,28,9,40,7,7,8
N20002376,NI data zone,32,100,13,2,5,5,7,5,2
N20002377,NI data zone,17,41,43,87,16,25,11,13,9
N20002378,NI data zone,20,12,18,50,27,3,6,20,4
N20002379,NI data zone,56,143,43,35,21,24,15,14,13
N20002380,NI data zone,34,63,19,25,7,22,25,11,6
N20002381,NI data zone,20,32,27,48,12,22,14,7,4
N20002382,NI data zone,30,67,27,39,16,35,20,19,9
N20002383,NI data zone,69,163,45,3,2,7,6,9,9
N20002384,NI data zone,21,29,25,41,13,28,22,12,8
N20002385,NI data zone,38,30,32,73,26,8,12,21,6
N20002386,NI data zone,17,83,29,58,19,35,9,7,10
N20002387,NI data zone,28,84,44,60,5,27,20,11,12
N20002388,NI data zone,28,43,18,36,6,76,13,13,6
N20002389,NI data zone,12,50,34,85,6,14,3,6,8
N20002390,NI data zone,39,23,46,55,17,5,13,39,5
N20002391,NI data zone,10,19,16,22,13,8,4,11,1
N20002392,NI data zone,20,32,64,120,8,10,3,22,7
N20002393,NI data zone,33,27,31,49,34,9,8,34,8
N20002394,NI data zone,36,65,23,28,16,20,20,15,6
N20002395,NI data zone,3,34,50,55,3,14,4,3,3
N20002396,NI data zone,32,21,31,31,8,0,10,22,5
N20002397,NI data zone,41,46,48,28,13,9,12,33,8
N20002398,NI data zone,6,29,23,37,19,34,5,6,5
N20002399,NI data zone,26,18,44,71,38,5,6,50,7
N20002400,NI data zone,26,14,9,19,21,3,1,12,4
N20002401,NI data zone,40,10,17,52,12,6,7,12,2
N20002402,NI data zone,21,18,41,34,15,13,14,17,4
N20002403,NI data zone,23,63,41,30,11,8,10,13,5
N20002404,NI data zone,33,23,29,80,17,9,11,27,5
N20002405,NI data zone,27,25,27,42,19,8,11,35,6
N20002406,NI data zone,30,9,32,48,32,4,1,58,5
N20002407,NI data zone,15,17,17,18,6,10,8,12,5
N20002408,NI data zone,42,27,30,42,23,16,12,43,9
N20002409,NI data zone,25,71,15,23,7,31,7,15,2
N20002410,NI data zone,30,8,25,31,14,7,13,39,4
N20002411,NI data zone,35,83,41,36,24,26,13,13,12
N20002412,NI data zone,22,23,26,46,14,18,11,15,7
N20002413,NI data zone,41,14,10,24,7,2,7,27,4
N20002414,NI data zone,29,61,35,38,11,26,18,23,8
N20002415,NI data zone,24,47,25,36,14,18,16,10,5
N20002416,NI data zone,48,12,14,28,11,9,11,47,6
N20002417,NI data zone,38,11,25,40,25,4,6,30,2
N20002418,NI data zone,22,56,33,22,20,29,4,14,8
N20002419,NI data zone,22,43,30,20,4,5,2,10,5
N20002420,NI data zone,40,50,30,29,14,27,17,23,4
N20002421,NI data zone,46,99,16,6,4,14,3,8,5
N20002422,NI data zone,42,53,20,13,4,5,8,15,4
N20002423,NI data zone,35,43,22,35,13,33,13,21,4
N20002424,NI data zone,30,19,32,52,21,8,8,36,7
N20002425,NI data zone,23,28,41,69,21,3,6,32,8
N20002426,NI data zone,13,31,34,48,18,4,3,32,1
N20002427,NI data zone,38,21,38,42,18,8,9,41,4
N20002428,NI data zone,11,17,23,14,12,5,8,8,4
N20002429,NI data zone,12,32,14,46,14,40,13,14,15
N20002430,NI data zone,23,14,24,55,13,1,6,18,6
N20002431,NI data zone,22,26,9,37,10,21,18,11,13
N20002432,NI data zone,60,86,34,28,12,18,14,17,4
N20002433,NI data zone,9,8,20,51,15,6,2,26,5
N20002434,NI data zone,8,33,19,20,13,6,9,8,3
N20002435,NI data zone,44,43,54,68,13,9,10,44,7
N20002436,NI data zone,24,33,38,44,16,8,10,19,3
N20002437,NI data zone,11,25,61,90,24,6,11,27,3
N20002438,NI data zone,24,22,25,41,23,9,7,30,5
N20002439,NI data zone,28,25,45,81,27,8,7,42,14
N20002440,NI data zone,27,32,41,51,28,10,16,41,13
N20002441,NI data zone,18,32,48,70,20,9,7,29,3
N20002442,NI data zone,22,13,29,57,31,7,6,21,5
N20002443,NI data zone,22,7,26,42,17,1,8,35,1
N20002444,NI data zone,18,13,33,55,29,5,8,28,12
N20002445,NI data zone,18,22,44,51,26,4,6,33,12
N20002446,NI data zone,29,16,39,54,26,4,9,33,13
N20002447,NI data zone,21,16,51,45,27,3,7,39,9
N20002448,NI data zone,26,34,46,40,15,10,10,11,6
N20002449,NI data zone,26,15,36,40,40,7,11,26,8
N20002450,NI data zone,15,15,28,58,24,10,2,23,9
N20002451,NI data zone,32,22,39,49,27,3,10,30,14
N20002452,NI data zone,18,18,29,53,24,3,7,21,8
N20002453,NI data zone,24,20,27,44,18,9,4,18,6
N20002454,NI data zone,28,45,28,83,8,26,11,10,2
N20002455,NI data zone,15,23,23,30,10,17,14,14,3
N20002456,NI data zone,33,51,62,64,21,17,16,15,7
N20002457,NI data zone,29,51,45,56,8,10,6,27,0
N20002458,NI data zone,26,19,37,54,39,3,10,23,6
N20002459,NI data zone,39,28,36,43,20,11,10,29,1
N20002460,NI data zone,16,47,24,17,5,7,4,5,4
N20002461,NI data zone,52,100,55,51,23,27,16,29,7
N20002462,NI data zone,26,49,31,30,15,22,11,11,11
N20002463,NI data zone,31,32,32,54,10,7,7,18,2
N20002464,NI data zone,31,20,29,39,14,8,13,28,6
N20002465,NI data zone,17,22,32,38,20,9,8,20,8
N20002466,NI data zone,12,20,15,22,9,5,5,12,5
N20002467,NI data zone,37,28,46,65,20,10,13,43,6
N20002468,NI data zone,37,31,48,58,12,9,8,29,6
N20002469,NI data zone,5,17,29,38,25,7,10,6,1
